iter	PRAUC	Logloss
348	0.9491736033	0.2871023898
349	0.9492136688	0.2869018281
350	0.9492190302	0.2868862495
351	0.9492206094	0.2868834226
352	0.9493347211	0.2865429342
353	0.9494009621	0.2863584415
354	0.9494065725	0.2862845104
355	0.9494416068	0.2861417032
356	0.9494766497	0.2860399753
357	0.9495341579	0.2858443298
358	0.9496003225	0.2856595926
359	0.9496425222	0.2855327579
360	0.9496440216	0.2855311356
361	0.9496706986	0.2854549468
362	0.9497117958	0.2853471349
363	0.9497864323	0.2850338732
364	0.9498409111	0.284866687
365	0.949846823	0.2848429128
366	0.9499865669	0.2844596488
367	0.9500220503	0.2843161265
368	0.9500791774	0.284117734
369	0.950104422	0.2839857588
370	0.950104422	0.2839857583
371	0.9501743373	0.2837978186
372	0.9502556749	0.2835444615
373	0.9502802348	0.2834490389
374	0.950309858	0.2833625059
375	0.9503957657	0.2830629017
376	0.9504790695	0.2828667892
377	0.9506123585	0.2824991726
378	0.9506397118	0.282427679
379	0.9507151711	0.2822291156
380	0.950837965	0.2819094887
381	0.9509280891	0.2816913738
382	0.9510063124	0.2815135051
383	0.951146569	0.2811319307
384	0.9511953456	0.280973106
385	0.9512268489	0.2808440603
386	0.9512306909	0.2808371432
387	0.9513003276	0.280667768
388	0.9513598867	0.2804583054
389	0.9514579143	0.2802056042
390	0.9515308195	0.2800361381
391	0.9516064419	0.2798486334
392	0.9516089157	0.2798387737
393	0.9516820692	0.2796345543
394	0.9516815456	0.2796297361
395	0.9517575564	0.2794681377
396	0.9518403993	0.279232438
397	0.9518377087	0.279223559
398	0.9519538988	0.2789449171
399	0.9519765465	0.2788961221
400	0.9519906269	0.2788277674
401	0.9520523709	0.278665717
402	0.9521367858	0.2784388861
403	0.9522204442	0.2782085127
404	0.9522299368	0.2781917859
405	0.9523302677	0.2778864927
406	0.9523302677	0.2778864887
407	0.9523986229	0.2776271844
408	0.9524390701	0.2774608867
409	0.9524439513	0.2774472996
410	0.9525351404	0.2771674326
411	0.9525875974	0.2769383706
412	0.9526764715	0.276642484
413	0.9526839589	0.2766168738
414	0.9527159621	0.2765283444
415	0.9527796747	0.2763459744
416	0.9528139025	0.2762733742
417	0.9528399461	0.2762083306
418	0.9529084085	0.2759976397
419	0.9529234609	0.2759439062
420	0.9529599231	0.2758362233
421	0.9530171078	0.2756996428
422	0.9531173358	0.275392078
423	0.9531514627	0.2753053381
424	0.9531972565	0.2751829866
425	0.9532869108	0.274974516
426	0.9532958972	0.274953757
427	0.953299812	0.274948615
428	0.953385421	0.2747262676
429	0.9534758414	0.274529208
430	0.9535157801	0.2743445828
431	0.9535453216	0.2742198663
432	0.9535700663	0.2741395351
433	0.9536088428	0.2740430096
434	0.9536406351	0.2739560146
435	0.9536793505	0.2738579817
436	0.9537364061	0.2736653653
437	0.9537944207	0.2735053968
438	0.9537944207	0.2735053934
439	0.9538206322	0.2734338519
440	0.9538307448	0.2734104323
441	0.9538720358	0.2732781121
442	0.9538720358	0.2732781119
443	0.9538736289	0.2732708842
444	0.9538999853	0.2732025142
445	0.9539362362	0.2730712631
446	0.9539407722	0.2730602471
447	0.9539568408	0.2730134226
448	0.9540236817	0.2728319117
449	0.954074458	0.2726440493
450	0.9540845468	0.2726346374
451	0.9541213544	0.272505537
452	0.9541702299	0.272349721
453	0.9542591504	0.2720774279
454	0.9543737622	0.2718026301
455	0.9544055674	0.2717169838
456	0.9544267193	0.271656317
457	0.9544681631	0.2714994678
458	0.954532767	0.271329654
459	0.9545942067	0.2711279514
460	0.9546314283	0.2710125627
461	0.9547025141	0.2707393404
462	0.9547467482	0.2706272398
463	0.9548136102	0.270408961
464	0.9549078379	0.2702356498
465	0.9549443436	0.2701064014
466	0.9549816578	0.2700158555
467	0.95510239	0.269722861
468	0.9551178707	0.2696553981
469	0.9551723774	0.2695240152
470	0.9552023022	0.269442213
471	0.9552054648	0.2694411106
472	0.9552852117	0.2691920615
473	0.9552875332	0.2691873018
474	0.9553499255	0.2690056079
475	0.9554087106	0.268845796
476	0.9554494413	0.2687022792
477	0.9555014462	0.2685415346
478	0.9555286456	0.2684668086
479	0.9556367783	0.2681946113
480	0.9557364671	0.2679475395
481	0.9558200341	0.2677514944
482	0.9558200341	0.2677514911
483	0.9558397009	0.2676846627
484	0.9558843945	0.2675478903
485	0.9558987825	0.2675096759
486	0.9559577099	0.2673078228
487	0.9559884792	0.2672051101
488	0.9560231774	0.2671028582
489	0.9560485808	0.267046923
490	0.9560742043	0.2669488022
491	0.9560875483	0.2668966814
492	0.9561722968	0.2666254426
493	0.9562425402	0.266388018
494	0.9562808258	0.2662549085
495	0.9563275563	0.2661025293
496	0.9563275563	0.2661025263
497	0.9563275563	0.2661025247
498	0.9563632197	0.2660166384
499	0.9563929945	0.2659285073
500	0.9564580373	0.265749648
501	0.9564916322	0.2656137425
502	0.9565051259	0.2655540162
503	0.9566232878	0.2652528016
504	0.9567308184	0.2649721889
505	0.9567830687	0.2648164305
506	0.9568580076	0.2645834465
507	0.9569213337	0.2644309283
508	0.9569941428	0.2642394837
509	0.957073914	0.2640361002
510	0.9571422778	0.2638203522
511	0.9572560307	0.2636163145
512	0.9573278541	0.2633979641
513	0.957399911	0.2631347756
514	0.9574245174	0.2630279397
515	0.9574240308	0.2630265735
516	0.9574240308	0.2630265702
517	0.9574358834	0.2630046724
518	0.9574363137	0.2630031201
519	0.9574800594	0.2628745859
520	0.9574803536	0.2628661485
521	0.9574810313	0.2628648514
522	0.9575307754	0.2627386903
523	0.9575891415	0.2625716456
524	0.9575964537	0.262552119
525	0.9576302721	0.2624474103
526	0.9576543038	0.2623867228
527	0.9576559039	0.2623820664
528	0.9577264059	0.2621675561
529	0.9577389756	0.2621308256
530	0.957781126	0.2619782897
531	0.9577923038	0.2619205027
532	0.9578247913	0.2617857162
533	0.9578745158	0.2616699865
534	0.9579784661	0.2613605575
535	0.9580392324	0.2611707219
536	0.9580900188	0.261035174
537	0.958172902	0.2607941447
538	0.9582038385	0.2606927513
539	0.9582202997	0.2606579039
540	0.9582223635	0.2606505109
541	0.9582333956	0.2606033539
542	0.95831167	0.2603579524
543	0.9583461274	0.2602494216
544	0.9584413955	0.2599453458
545	0.9585090249	0.2597963721
546	0.9585417503	0.2597030777
547	0.9586360946	0.259462536
548	0.9587018521	0.2592233334
549	0.958749136	0.2591019374
550	0.9588347809	0.2587916732
551	0.9589225837	0.2585202605
552	0.9589361766	0.2584579734
553	0.9589444625	0.2584006783
554	0.9589859169	0.2582627804
555	0.9590140488	0.2581497624
556	0.9590793218	0.2579343809
557	0.9591021193	0.2578698571
558	0.9591459868	0.2577140121
559	0.959202664	0.2575181015
560	0.9592476553	0.2573826061
561	0.9593265378	0.2571489966
562	0.9593708143	0.257000517
563	0.9594434743	0.2567732787
564	0.9594468735	0.256764674
565	0.9595066469	0.2566059901
566	0.959557798	0.2564773321
567	0.9595966891	0.2563397936
568	0.9596431366	0.2561924501
569	0.9596877251	0.2560216144
